gene	logFC	pvalue	fdr	LR
MCEMP1	16.2689165572177	1.32077611293869e-46	2.11535728733018e-42	205.494769262878
S100A9	16.2981015529415	2.51095885492336e-46	2.11535728733018e-42	204.2160614477
PARVG	14.5123517339602	2.0927434359581e-43	1.1753544717486e-39	190.8320433536
ADRA2B	12.8626103965621	2.42123580499142e-42	1.01988505195751e-38	185.960858685495
MS4A7	15.9324935735738	3.91044128961963e-42	1.31774050577602e-38	185.007201833125
SIGLEC14	16.4061432288136	3.12423320530687e-41	8.7733675460359e-38	180.873311671485
PFN2	-9.97127608442473	7.74772909855378e-40	1.8648783940219e-36	174.487270988866
LILRA2	16.8545129817512	1.15653983813742e-39	2.43581746659716e-36	173.690560404767
FCER2	18.7131308806386	9.4180302095376e-39	1.76315990000554e-35	169.520201652391
MNDA	15.090058862161	3.14958185852184e-38	5.30673047342345e-35	167.119840294152
GGTA1	15.2850010375023	2.04535026798964e-37	3.13291878775977e-34	163.400314926787
CSF3R	13.1052276637836	4.16532461469343e-37	5.84846286941413e-34	161.98645133506
NR2F2	-12.2720126280559	4.5214134373635e-37	5.86009961585674e-34	161.823385549208
SCIMP	14.3220620961639	8.87456210649705e-37	1.06805354951692e-33	160.482874983088
SPI1	14.2447316951686	1.95166800916167e-36	2.192243619091e-33	158.916403763755
TAS1R1	-15.9742142849313	2.41062398798001e-36	2.5385377233422e-33	158.496614037873
CCL13	15.3617723481579	2.22931368863594e-35	2.20951213763688e-32	154.075765335754
YAP1	-12.8206222018417	5.33187993757225e-35	4.99093583711972e-32	152.342912546185
KCNE1	13.9053854295756	2.11014029710969e-34	1.87125020347375e-31	149.609514298926
GPD1	10.7378163020991	1.02316100544451e-33	8.61961989036726e-31	146.472969974117
NCAPG	-7.57072476174124	1.17200047391739e-33	9.01834389715348e-31	146.203158877422
SNAI3	9.17217421736324	1.17753911648986e-33	9.01834389715348e-31	146.193792752447
KIF23	-7.2123894882556	1.26635849448554e-33	9.27690185808122e-31	146.049330926503
UBE2C	-8.03153105443307	2.03629629328408e-33	1.42956484356431e-30	145.105752115922
MS4A4A	15.9628717123499	2.5357106574324e-33	1.70896755468314e-30	144.670036588634
SASH3	15.5401271997922	3.39591335843478e-33	2.20068246831798e-30	144.08980391137
ROBO1	-10.1030342232692	5.79276604193559e-33	3.61490055705825e-30	143.029019282097
CR1	17.8627495051063	6.32941082374056e-33	3.80872296318588e-30	142.853039266809
ENAH	-8.5478420430536	1.13124403206705e-32	6.57252782630956e-30	141.699644129189
ENSG00000233038	12.3427115262469	1.72843637182678e-32	9.70747480963647e-30	140.857723457159
TEAD1	-10.9360109674868	2.83057203161009e-32	1.53846155356769e-29	139.878083193647
ANLN	-9.51306118920312	3.24085056323255e-32	1.65500938352687e-29	139.609266257684
GJC1	-9.48203676918274	3.24145703937247e-32	1.65500938352687e-29	139.608894647918
BTK	9.96629415818716	3.93556885498657e-32	1.95030587169614e-29	139.22355529554
SLC49A3	7.69701956023533	3.99777315961898e-31	1.92452799904058e-28	134.620170484051
KCNE1B	13.125493656839	5.83309682359369e-31	2.73005134390917e-28	133.870056734423
ASPM	-7.85122185847424	8.86516398149609e-31	4.0370039979521e-28	133.039031000295
GUCA1A	14.8451436553104	1.56903725767538e-30	6.76288174194418e-28	131.905626532086
PRAM1	12.2898270324386	1.60552715103429e-30	6.76288174194418e-28	131.859987676697
TBC1D10C	10.3549979223573	1.55145882708753e-30	6.76288174194418e-28	131.927992568802
LAIR1	11.3864170335743	1.96861381301798e-30	8.09004247208292e-28	131.455261737985
TREM2	16.1101929863345	4.05514125472168e-30	1.62678750001918e-27	130.020760655647
GMFG	9.25679286725446	4.36536808350343e-30	1.71051364741743e-27	129.874436004432
CD1B	14.83164904895	4.57739680557516e-30	1.75283088129854e-27	129.780294486379
HMGA2	-14.0552445147693	4.70827888967482e-30	1.7539398426992e-27	129.724335414208
HSD11B1	14.7343722028701	4.78848790813479e-30	1.7539398426992e-27	129.69080555772
RRM2	-8.29797894950453	1.61270022969642e-29	5.78135875960743e-27	127.280721763843
MID1	-12.8357565168802	2.22102351908237e-29	7.79625526521227e-27	126.645532445218
CD84	15.0979770512452	2.31103614790509e-29	7.9466628685822e-27	126.566690035835
PILRA	8.40876501715588	3.01787362378115e-29	1.01696305374177e-26	126.037106106014
PTPN7	11.9628965980005	4.8837653555146e-29	1.61346200931501e-26	125.081869308994
DLG5	-7.37634829783793	7.23753189225074e-29	2.34509951639486e-26	124.301305207843
CDK1	-7.59785678469759	8.08354817481492e-29	2.56980572070673e-26	124.081942852073
OXCT2	-11.8903073484995	1.39340971226592e-28	4.34769634110527e-26	123.001536097177
OXCT2P1	-11.8897414140436	1.65619367274284e-28	5.07367403491712e-26	122.658746708751
KCNE3	14.6920593977422	1.75837659508088e-28	5.2905155804496e-26	122.539962407646
KIF4A	-9.31823104435321	2.3822355818787e-28	7.04180479282004e-26	121.937516584603
ANTXR1	-9.44393394233741	3.87235885216017e-28	1.12492024655253e-25	120.973677798428
ITGB2	12.9822191112281	4.01855222877178e-28	1.1284764417096e-25	120.900160333021
MELK	-6.58072062195462	3.95282650322942e-28	1.1284764417096e-25	120.932875676673
PTPRS	-9.8982612325807	4.20121661557057e-28	1.16043112714342e-25	120.811973497677
TRIP13	-6.50937509836136	1.24284032575883e-27	3.37751881430814e-25	118.660434058013
TPX2	-6.53991728461713	2.23714443377866e-27	5.98311850233914e-25	117.494545684798
CCL17	14.6312743632449	2.7309334622419e-27	7.18960904770529e-25	117.09897641021
CCNA2	-7.29083165016189	3.44211792408215e-27	8.92249921582464e-25	116.639952611514
SYDE1	-14.8736404441466	5.34568569420814e-27	1.36468876154111e-24	115.766935676624
FKBP10	-14.0997392097209	5.42787047054106e-27	1.36498790385293e-24	115.736678629188
PLOD2	-15.0262341794828	7.34059688810687e-27	1.81884877893695e-24	115.138031794006
FAT1	-12.2381404724326	9.5193957391706e-27	2.32452606969979e-24	114.622620963412
CDH2	-9.55910168465097	1.34454756186441e-26	3.23632598140763e-24	113.937889539985
HMX1	-14.2775556496586	1.5848333376883e-26	3.76096576150846e-24	113.611863425743
PARVA	-14.7540802197515	1.95101424743272e-26	4.5656443131936e-24	113.19969621085
NPR1	14.2392675394699	2.95698546187088e-26	6.82496548589896e-24	112.375239920427
FERMT2	-7.31236685941588	4.85329262894826e-26	1.10230217382507e-23	111.392895545957
LCP2	13.3313000603533	4.90668069540506e-26	1.10230217382507e-23	111.371206292018
CSF2RB	13.8762538820331	6.27624992504388e-26	1.39142809193506e-23	110.883172322831
YES1	-8.34397106940968	7.03766915119848e-26	1.53996996790316e-23	110.656177397204
TNFAIP8L2	10.7372768941043	1.05594757591868e-25	2.28098214187869e-23	109.851852711744
TANC1	-8.32397872773974	1.16425318014446e-25	2.48310149775366e-23	109.658302832683
SALL1	-14.5601357450986	1.20920208504807e-25	2.54673074137186e-23	109.583214108527
IGSF6	12.0594864591848	1.66161544887001e-25	3.45636527135935e-23	108.953219534317
FAM83D	-8.5983211714774	2.46016194625514e-25	5.05503276005522e-23	108.175384236023
DEPDC1	-9.05735697577292	2.99302092203107e-25	6.07583247172308e-23	107.786806967982
NR2F1	-14.1482636137535	5.95609764000243e-25	1.19469391829049e-22	106.423048105768
KLHL6	13.4687420651967	6.56000573289814e-25	1.30034748933648e-22	106.231663756404
CD300LF	14.9615489901468	9.42253195250072e-25	1.84604931241494e-22	105.514094335826
ARL11	14.4453890258958	1.05468161181352e-24	2.04256672154551e-22	105.29073464988
IRF4	10.7829370632229	1.07149317647133e-24	2.0515441511779e-22	105.259398434432
CKAP2L	-8.47166515038397	1.13898358606356e-24	2.1562622968073e-22	105.138361871517
TGFB1I1	-9.15246604626649	1.15490464171394e-24	2.16210981202646e-22	105.110855756023
STC2	-17.0809670190214	1.17707128204575e-24	2.17939275068009e-22	105.073184478402
IGF2BP3	-7.17688102471556	1.52149240183353e-24	2.78648103027099e-22	104.564623235501
CEP55	-6.06647193590593	1.77930838711045e-24	3.22360935638967e-22	104.254473305662
TENM3	-13.6437050093549	2.12510751578732e-24	3.80914218441496e-22	103.902596824075
FGD2	14.2893710794857	2.65534207318526e-24	4.709458799063e-22	103.461272760223
SLC17A9	13.126094058557	3.14072642903087e-24	5.5123020419522e-22	103.128671886908
TOP2A	-7.16422669868134	3.44272829238853e-24	5.98005453592313e-22	102.946784139619
S1PR4	10.9934993075587	5.27196769450989e-24	9.06401874334664e-22	102.102586159144
PSTPIP1	13.9279093117966	7.71257693488624e-24	1.31261827046362e-21	101.348958254959
CD300A	12.8576220999004	8.2033136964497e-24	1.38217632471481e-21	101.226770241416
BUB1B	-6.88335970163454	1.01788634132582e-23	1.69805613514839e-21	100.799371121261
PARD3	-14.1022326508891	1.04745890096307e-23	1.73025833552223e-21	100.742645633399
DOK2	9.73846033612145	1.15321851597273e-23	1.88646395879849e-21	100.552123515267
GNG12	-8.48974534654739	1.45826515626295e-23	2.36252977094946e-21	100.087287512814
ABCG2	6.03468544597606	1.54904516651768e-23	2.48570114387203e-21	99.967678005992
KNL1	-6.39461637572416	2.00449012537746e-23	3.18619378514007e-21	99.4571976413175
SLC35F2	-7.63758273991735	2.2862583694367e-23	3.6001090903401e-21	99.1967160719499
CCL22	18.9415169252877	2.35098097558942e-23	3.66774800534316e-21	99.1414306515622
FOXD1	-12.6383614823583	3.22369307854416e-23	4.98311969544868e-21	98.5162447458652
LSP1	12.8201517468376	3.30957366665328e-23	5.06936424631282e-21	98.4641796344179
LINC01010	12.9902494327267	3.61102492825975e-23	5.48127558704941e-21	98.2915558199689
ADAMTSL4	7.35445123849988	4.95685321284549e-23	7.45696605207443e-21	97.6642747108926
MYBL2	-6.60591211719751	6.21089084769458e-23	9.26082299936335e-21	97.2177016877584
MEIS2	-13.9795862057815	8.03450613354095e-23	1.18748591091256e-20	96.7079730308727
MAP1B	-16.7443254998899	8.79195652915901e-23	1.28813630921565e-20	96.5295993354895
DLGAP5	-7.75984579907742	1.11813448866617e-22	1.62409034478761e-20	96.0536257144323
PBK	-8.31414672088087	1.14931981736696e-22	1.65511876947144e-20	95.9991643384878
IGHM	14.4385436560883	1.2834191208712e-22	1.83257023453888e-20	95.7806827816267
EML1	-12.3042675265645	1.3150980166427e-22	1.86202407415235e-20	95.732409893736
TYROBP	18.5382933538104	1.92429050797625e-22	2.70186423074098e-20	94.9788624915979
FAM171A1	-14.2174828263486	2.38792089324851e-22	3.32513050664001e-20	94.551549700391
ST14	11.8305467335727	2.42565359680191e-22	3.34998667643569e-20	94.5205154870423
KIF14	-7.68200256857675	2.92190219686362e-22	4.00253090365488e-20	94.1520747173769
PLS3	-14.234452951911	2.98880545000942e-22	4.06115992154909e-20	94.107263260062
TJP1	-5.16570691056763	3.14802344198171e-22	4.24328375791599e-20	94.0045314538924
DIAPH3	-8.28915923078573	6.49915802835489e-22	8.69081854125012e-20	92.5698023998083
LARP6	-14.1918441971195	6.60720721510708e-22	8.76573498955427e-20	92.5371708897941
IL16	7.72424178164049	7.38127668434892e-22	9.71618209801523e-20	92.3179231197316
FANCI	-5.99981668418308	1.04033459651021e-21	1.35880601679074e-19	91.6387925504986
PERP	-7.47449491936666	1.07219989928496e-21	1.38965354638863e-19	91.5790904884847
ADAMTS1	-16.2482494766177	1.15670561372133e-21	1.47646461254475e-19	91.4289701176232
CD209	15.9699094595832	1.14898880609375e-21	1.47646461254475e-19	91.4422157032547
SLC6A12	8.47385544080455	1.49003017319353e-21	1.88763296151412e-19	90.927910301787
FHOD3	-14.0907046139014	1.52362345395384e-21	1.91578593848271e-19	90.8837954912212
HLA-DRB6	13.4816816768202	1.60004799342132e-21	1.9969784178634e-19	90.7869547760042
KIF2C	-6.01383436652519	1.78394551338729e-21	2.21012484963694e-19	90.5716912566252
CALD1	-10.5725163906418	1.80187341977146e-21	2.21604125910433e-19	90.5519063064741
COL4A5	-11.704910447373	2.00704627796683e-21	2.45048715488864e-19	90.33854143213
ENSG00000259590	9.23475562166816	2.4194068539846e-21	2.93270403473284e-19	89.9688393708837
CNN3	-9.53923231313446	3.05527457454516e-21	3.65094477351145e-19	89.5071810348796
KCNAB2	7.48015626053483	3.04950901664376e-21	3.65094477351145e-19	89.5109179033557
PLK1	-5.5438685740188	3.13766058269136e-21	3.7229889547723e-19	89.4545408120968
SLC27A3	7.23503669441507	3.30638566723561e-21	3.89575469281489e-19	89.350918942006
C1QB	15.0836553849295	3.54687652604711e-21	4.15009184634498e-19	89.212018228803
USP53	-6.20633162507596	4.36650641007084e-21	5.07388044850231e-19	88.8007487236293
PTPN6	11.2698440384605	4.430203734732e-21	5.11263717304791e-19	88.7720998416719
RBFOX2	-6.12470004637866	5.37683256225175e-21	6.16287427492379e-19	88.3890241332765
UHRF1	-5.01275234703129	5.59558576002484e-21	6.37027192369314e-19	88.3101406904427
CDT1	-6.41987050986667	7.04419082257658e-21	7.96560880332837e-19	87.8547490278297
FSTL1	-8.49341558942257	7.3405663783992e-21	8.24541352730987e-19	87.7732318463985
KIF11	-5.47508961115078	8.31999209022341e-21	9.28367859126982e-19	87.5255064748042
GPSM3	7.39455951567917	1.09951541775218e-20	1.21879837327016e-18	86.9741024395502
LMO2	8.00057336002073	1.13821280555538e-20	1.25344755299363e-18	86.905692633682
SIGLEC10	10.4124545775019	1.656905002475e-20	1.81280470043515e-18	86.1631021946545
KIRREL1	-16.3662729584992	1.74379625562082e-20	1.89556278135194e-18	86.0620240105925
CDCA5	-5.59365155147137	2.5937038319671e-20	2.80136640159062e-18	85.2769409121645
CISH	7.54221938251781	3.02537198159579e-20	3.22623370366503e-18	84.9725430559794
FOXM1	-6.26675509901538	3.01114844866516e-20	3.22623370366503e-18	84.981860851511
BVES	-13.2942819889008	3.04766669116042e-20	3.2295683068781e-18	84.9580256637715
FBXO17	-14.298658776306	4.5028184124728e-20	4.74174921448464e-18	84.1862923543719
EXO1	-6.76426762227235	5.16342289142234e-20	5.4036343041972e-18	83.9156475495001
PCDH10	-14.2299587487732	5.41431698519083e-20	5.63122388169631e-18	83.8218467107719
OCSTAMP	13.08246440991	6.03195537507925e-20	6.23511755304971e-18	83.6082911117914
LILRB3	8.5854136423167	6.61245188770172e-20	6.79348791804184e-18	83.4266502080104
