gene	logFC	fdr	betweenness	source_node_score	step_1	step_2	nbh_score	score
SPI1	14.2447316951686	11.9825825710955	91854.6518279876	15678548.6974109	33721762.3072064	35037302.0515698	1.3905583391155	52638.0062435512
IRF4	10.7829370632229	9.66850982751803	22341.4812475726	2329209.62981071	4092834.91804443	70118115.9833248	1.46909461007012	7819.92133703785
IKZF1	11.3703499744493	4.4001052821327	43515.5665347925	2177115.86393675	10646660.8228105	70423456.6506121	1.56564730325044	7309.29328339654
TFEC	9.92932908538833	6.17757753205335	34903.1424263904	2140930.84321412	20881290.303866	59445372.8824848	1.55529587138484	7187.80833224271
MITF	4.09455939830414	6.62948122020763	61867.4185609544	1679378.99017582	27003280.3635017	54866304.8596095	1.5767490253447	5638.22829732966
CTSZ	8.53522351221298	4.08040698599666	41526.1540904274	1446239.07768321	50320997.6072416	32930087.9840221	1.5958618526019	4855.5016360957
ZNF366	11.101897102665	6.04024643334609	19468.439948198	1305518.43027776	29170614.8136857	50133079.2580243	1.54100866713516	4383.05634220524
CEBPD	3.64390128924361	4.07625860682637	84826.9450409819	1259975.67031629	41432477.3662667	41095846.1197251	1.58587372960084	4230.1545937564
CREG1	3.56154025644831	4.33639019285341	78275.8153349218	1208909.55766667	43747079.6247057	38912110.5832878	1.58768403624091	4058.70900432932
LMO2	8.00057336002073	8.73178270187614	16843.8323882519	1176697.80213906	34651856.8804226	46627950.3526867	1.56856209102833	3950.5635708801
PRKCB	8.89873806510915	3.18370320800413	36625.649636674	1037639.11619916	32678641.000012	49286313.2637049	1.57807132623839	3483.69823976799
MREG	5.86624439437692	7.46735326133901	19115.2357156758	837349.002302672	37851105.5194692	44417936.1184163	1.58228465411604	2811.25901644251
GAS7	9.57995431126045	4.10047304806033	21078.5182018098	828013.612603907	30288564.8651788	50440267.7900014	1.56089876328616	2779.9169966637
NR1H3	4.42314731992075	6.71146332653171	27667.1181972038	821320.289079865	13921113.7547655	65673066.7433757	1.54507093725379	2757.44527341014
ZNF219	3.92505435622042	5.8982760275835	35002.9633684415	810355.495671859	15360759.8098161	66764054.5082168	1.58028683556654	2720.63300397599
RXRA	2.32151525879071	3.24907680815728	86379.5100632825	651541.760733884	44332184.6842312	39421685.0287973	1.60279569969712	2187.44357386282
AKNA	4.78922789213794	5.45663891952703	24304.8282420402	635160.198521392	10171169.7761278	70994522.8952039	1.56697610558466	2132.44520637003
FABP3	7.76380251412814	8.45861251994468	9647.70499521473	633574.40722918	30944632.2444913	50980995.2357732	1.57752610883077	2127.12122321208
CEBPA	6.49404459375789	3.00677246706827	28188.9702398516	550421.060101385	36476732.7097208	46102788.4068449	1.58658205273083	1847.94834663615
CSF2RB	13.8762538820331	9.94019365188838	3729.47013069551	514415.70102044	26433412.2270755	52017921.4020381	1.5290648109065	1727.06641985956
PPARG	3.96743255204057	5.16989250656047	24987.2981335328	512519.465005757	17378171.0133271	64235622.2150533	1.57320031322794	1720.70028527343
FGR	14.5950167846916	7.21711231798798	4776.47953107478	503125.099863045	25991234.1410609	54961095.0958704	1.56400906481613	1689.1603066357
ARID3A	2.52710572893131	3.46736823503278	52527.4767800516	460267.08458694	37773982.45298	45438233.8357092	1.59532532235518	1545.27207624406
TBX21	11.9936716299796	4.97747435049155	7340.34531450045	438205.350584943	1035139.26068286	65057647.0097858	1.35151840475572	1471.20282117042
IRF5	6.71104267409211	3.13052919848859	20029.1700686199	420795.138198429	33176807.495115	49050494.6137821	1.5817065843491	1412.75183262147
MS4A4A	15.9628717123499	11.4175343515704	2248.4708983395	409798.742357364	31675564.0599594	46941306.2748183	1.53138725556898	1375.83317634267
